Behavior,n,mean,sd,min,max,range,skew,kurtosis,sem
X1.1,125,-0.0080,0.1001,-0.5,0.25,0.75,-2.5050,13.6047,0.0090
X1.2,126,-0.0040,0.1702,-1,1,2,-0.2824,17.7103,0.0152
X1.3,130,0.0000,0.0000,0,0,0,NA,NA,0.0000
X1.4,128,0.0125,0.2404,-1,1,2,0.5288,13.5491,0.0212
X2.1,102,0.0980,0.4774,-1,1,2,0.2423,0.9664,0.0473
X2.2,126,0.0159,0.2225,-1,1,2,1.7077,13.5811,0.0198
X2.3,111,0.0428,0.4778,-1,1,2,-0.0334,-0.0148,0.0453
X2.4,99,0.1061,0.4988,-1,1,2,-0.0383,0.1113,0.0501
X2.5,110,0.0273,0.4923,-1,1,2,0.0066,0.5591,0.0469
X3.1,104,-0.0096,0.3862,-1,1,2,-0.1398,1.5900,0.0379
X3.2,98,0.1403,0.5203,-1,1,2,0.0502,-0.0411,0.0526
X3.3,135,0.0015,0.1574,-1,1,2,-1.8365,33.4306,0.0135
X3.4,112,0.0268,0.4623,-1,1,2,0.1638,1.4342,0.0437
X3.5,125,0.0544,0.4200,-1,1,2,0.1394,1.9547,0.0376
X3.6,129,-0.0252,0.3629,-1,1,2,-0.2366,1.0040,0.0320
X3.7,119,-0.0336,0.1810,-1,0,1,-5.1103,24.3198,0.0166
X4.1,94,0.0617,0.5352,-1,1,2,0.0687,-0.2006,0.0552
X4.2,110,0.0855,0.3940,-1,1,2,0.4000,1.4646,0.0376
X4.3,111,0.1225,0.5760,-1,1,2,-0.0620,-0.2725,0.0547
X4.5,100,0.0960,0.4944,-1,1,2,0.1389,-0.1057,0.0494
X4.6,118,0.0254,0.3111,-1,0.8,1.8,-0.2639,1.0721,0.0286
X4.7,112,0.1839,0.4973,-1,1,2,0.0560,-0.2094,0.0470
X4.8,109,0.0092,0.4272,-1,1,2,-0.2738,0.1148,0.0409
X5.1,127,0.0472,0.2160,-0.6,1,1.6,3.2785,12.8064,0.0192
X5.2,129,0.0372,0.2162,-0.6,1,1.6,3.0924,13.5624,0.0190
X5.3,119,0.0555,0.2629,-0.6,1,1.6,2.1498,6.8719,0.0241
X5.4,65,-0.0038,0.4708,-1,1,2,-0.0473,0.9596,0.0584
X5.5,68,0.0206,0.5804,-1,1,2,-0.0032,-0.2651,0.0704
X5.6,58,0.0172,0.5212,-1,1,2,0.0242,0.5248,0.0684
X6.1,114,0.0680,0.5134,-1,1,2,0.0850,0.5694,0.0481
X6.2,109,0.0000,0.5126,-1,1,2,0.0766,0.5750,0.0491
X6.3,113,-0.0053,0.2528,-1,1,2,0.0230,7.9814,0.0238
X7.1,111,0.1604,0.4677,-1,1,2,0.3554,0.3970,0.0444
X7.2,102,0.2353,0.5789,-1,1,2,-0.1187,-0.4913,0.0573
X7.3,93,0.1371,0.5180,-1,1,2,-0.1695,0.2738,0.0537
X7.4,120,-0.0167,0.1826,-1,1,2,-2.4663,26.0498,0.0167
X8.1,66,0.0697,0.3552,-1,1,2,0.5300,3.2792,0.0437
X8.2,54,0.1037,0.5106,-1,1,2,0.0791,0.4148,0.0695
X8.3,45,0.2944,0.4864,-0.75,1,1.75,0.3346,-1.1247,0.0725
X8.4,40,0.0188,0.6186,-1,1,2,-0.0045,-0.7165,0.0978
X8.5,46,0.0272,0.5224,-1,1,2,-0.0265,0.1708,0.0770
