varname,col,coefest,p_val,adjusted
A0.57Yes,X1.4,-0.333824768323505,0.0174760112065814,0.824841948416827
A0.57Yes,X2.1,0.68110608768794,0.0306052355280612,0.947147945188883
(Intercept),X3.1,0.882575757575756,0.0417092673110701,0.947147945188883
Age44-54,X3.1,0.90530303030303,0.00429049703889244,0.584580221549094
Age55+,X3.1,0.818181818181819,0.0115917059457069,0.749142830760982
Experience15-20Y,X3.1,-0.931818181818181,0.00651921319663016,0.710594238432688
Experience20+Y,X3.1,-0.969696969696969,0.00242103990366583,0.584580221549094
Experience5-10Y,X3.1,-1.25,0.00397452191106531,0.584580221549094
A0.56Yes,X3.3,0.030200661688637,0.0353507684061804,0.947147945188883
A0.57Yes,X3.3,-0.0885589586111487,0.00105011466972378,0.572312494999463
A0.59Yes,X3.3,-0.0360079352105191,0.0276191371827597,0.947147945188883
A0.56Yes,X3.6,-0.305196995990892,0.0402775838500075,0.947147945188883
A0.56Yes,X4.5,-0.467736910725713,0.0295268847238828,0.947147945188883
A0.58Yes,X4.5,-1.25667176962947,0.0487573641825652,0.973192156975405
Age44-54,X4.5,1.61268197866072,0.0093574077638528,0.728541033042825
Age55+,X4.5,1.07962858039612,0.0353908241839771,0.947147945188883
Experience15-20Y,X4.5,-1.59087173317696,0.00812205132532808,0.728541033042825
Experience20+Y,X4.5,-1.12061994883838,0.01816165757982,0.824841948416827
A0.69Yes,X4.8,-0.957222275472059,0.0230244433295021,0.947147945188883
A0.57Yes,X6.2,-0.903180229799105,0.0387935489866007,0.947147945188883
Experience5-10Y,X6.3,0.39277848282638,0.0399224652516262,0.947147945188883
A0.3Very involved,X7.1,2.88544423440454,0.0356568369905038,0.947147945188883
A0.56Yes,X7.1,0.421739130434782,0.0496787941029838,0.973192156975405
Age55+,X7.1,1.40756143667297,0.013745740013963,0.749142830760982
Experience15-20Y,X7.1,-1.08931947069943,0.0290654556018907,0.947147945188883
Experience20+Y,X7.1,-1.10529300567108,0.0131138642107983,0.749142830760982
